Date,Open,High,Low,Close,Volume,Adj Close,daily_return,lag_return_1,lag_return_2,moving_avg_5,moving_avg_20,volatility_5,target_direction,lag_return_3,lag_return_5,moving_avg_10,moving_avg_50,close_to_ma_5,close_to_ma_10,close_to_ma_20,close_to_ma_50,volatility_10,volatility_20,momentum_5,momentum_10,momentum_20,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5,volume_ratio_20,intraday_return,high_low_range,open_close_range
2015-04-13,176.577,177.197,175.857,175.914,88477020,175.914,-0.0045101889525837,0.0053879065110034,0.0046585004772818,175.5426,174.85205000000002,0.0044679173141922435,1,0.0032917562724015,0.0064426608937968,174.8112,174.4609,1.0021157257554576,1.0063085202778768,1.006073420357382,1.0083290869186161,0.006254397920869692,0.006845433802069355,0.006344212122078696,0.016362186709189874,0.009387300749377436,0.023563448627733852,95853734.8,132625412.2,0.9230419678962786,0.6671196607975557,-0.0037547358942558256,0.007617358481985536,-0.003768887069818269
2015-04-14,175.716,176.432,175.064,176.26,89265439,176.26,0.0019668701751993,-0.0045101889525837,0.0053879065110034,175.9196,174.93099999999998,0.003951944831832883,1,0.0046585004772818,-0.0024598838705987,174.91840000000002,174.64522,1.0019349748407795,1.0076698620613953,1.0075972812137357,1.0092460589531165,0.00506585171326191,0.006841025799339049,0.010810035842293786,0.00611914058040508,0.009039334558423429,0.008911003105665172,94398976.4,128964046.2,0.9456187175351617,0.6921730639682736,0.0030959047554006617,0.0077612617723816805,0.0030863497106546167
2015-04-15,176.711,177.534,176.642,177.037,118247345,177.037,0.0044082605242257,0.0019668701751993,-0.0045101889525837,176.3372,175.07225,0.004061965689593249,0,0.0053879065110034,0.0032917562724015,175.2545,174.80394,1.003968533015155,1.010170922857901,1.0112225095639087,1.012774654850457,0.003981795209212952,0.0068525896899416135,0.011934906744251128,0.019352126949031545,0.01621587491102794,0.3246710745465555,96807278.2,129234478.8,1.2214716413749973,0.9149829526762482,0.0018448200734532281,0.0050384947779277545,0.001841422979377155
2015-04-16,176.701,177.485,176.509,176.979,81937455,176.979,-0.0003276151313001,0.0044082605242257,0.0019668701751993,176.58020000000002,175.1067,0.003974551578408401,0,-0.0045101889525837,0.0046585004772818,175.648,174.91209999999998,1.0022584638594814,1.0075776553106213,1.0106923378717092,1.0118167925489434,0.003585584600191436,0.006336157761369486,0.006912678364170199,0.022739881186288002,0.003908332860627528,-0.30706727495657515,92873490.0,119672291.75,0.8822480451633722,0.6846819242934737,0.0015732791551831627,0.0055147785895503275,0.0015708078359580515
2015-04-17,175.792,176.042,174.194,174.921,227161777,174.921,-0.0116284982964082,-0.0003276151313001,0.0044082605242257,176.2222,175.0785,0.0062969456613667495,1,0.0019668701751993,0.0053879065110034,175.7715,174.99234,0.9926161403046836,0.9951613316151935,0.9991004035332722,0.9995923250126262,0.005606258636523827,0.006796642043217092,-0.010129533532151513,0.007110532800571168,-0.0032139499102488145,1.7723801892553288,121017807.2,123991143.2,1.8770938116948461,1.8320806723556364,-0.0049547192136161445,0.010564769238684968,-0.004979390696371559
2015-04-20,175.887,176.881,175.799,176.558,109578647,176.558,0.0093585104132722,-0.0116284982964082,-0.0003276151313001,176.351,175.0555,0.007799974639582381,0,0.0044082605242257,-0.0045101889525837,175.9468,175.07103999999998,1.0011737954420445,1.003473777300866,1.008582992251029,1.0084934664236873,0.005998876372157072,0.006840721323622939,0.003660879748058843,0.010028317267812614,-0.002598605791501507,-0.5176184636027037,125238132.6,123181343.85,0.8749623195834845,0.8895717774717231,0.0038149493709028655,0.006128297783164704,0.003800450843348884
2015-04-21,177.236,177.379,176.051,176.357,86162818,176.357,-0.0011384360946543,0.0093585104132722,-0.0116284982964082,176.3704,175.03925,0.0078030353504904525,1,-0.0003276151313001,0.0019668701751993,176.145,175.15453999999997,0.9999240235322935,1.0012035538902608,1.0075283115072762,1.0068651374951516,0.005927971962722672,0.006832361348345649,0.0005503233859072143,0.01136630824372764,-0.0018394629900045922,-0.21368970726568648,124617608.4,123223245.3,0.6914176825110696,0.6992415902553737,-0.0049594890428580575,0.007530180259360292,-0.00498420816865784
2015-04-22,176.691,177.369,175.764,177.197,93000697,177.197,0.0047630658267037,-0.0011384360946543,0.0093585104132722,176.4024,175.11430000000001,0.007853071015445735,1,-0.0116284982964082,0.0044082605242257,176.3698,175.27110000000002,1.0045044738620337,1.0046901453650228,1.011893374784355,1.0109881206884648,0.006004886946168261,0.006784581679030716,0.0009037658794488479,0.012849458985189965,0.008543165467626013,0.07935997404356021,119568278.8,123249217.1,0.7778040959806808,0.7545743428499231,0.0028637565014630073,0.00905771542407597,0.0028555788190545
2015-04-23,176.797,178.318,176.691,177.637,121936088,177.637,0.0024831120165691,0.0047630658267037,-0.0011384360946543,176.534,175.3411,0.00790580003757434,1,0.0093585104132722,-0.0003276151313001,176.55710000000002,175.3597,1.0062480881869782,1.006116434853087,1.0130939066767575,1.012986450136491,0.005908075365810806,0.005768695618628006,0.0037179552376269687,0.010656334630527287,0.026204354683104114,0.31113090475010097,127568005.4,119865459.9,0.955851646481885,1.0172746018888799,0.004751211841829915,0.009159127884393508,0.004728744574610038
2015-04-24,178.078,178.347,177.601,178.069,72895217,178.069,0.0024319257812279,0.0024831120165691,0.0047630658267037,177.1636,175.61045,0.0038592649404378832,0,-0.0011384360946543,-0.0116284982964082,176.6929,175.45464,1.0051105306056096,1.0077880888253008,1.0140000210693612,1.014900489380047,0.005739939715209592,0.005705231084549198,0.017996695651179673,0.007684863986961554,0.031196071391343727,-0.40218504467684746,96714693.4,114413251.7,0.753713985304326,0.6371221507726801,-5.053965116417835e-05,0.004189387259994774,-5.0542205549615894e-05
