Date,Adj Close,Close,High,Low,Open,Volume,daily_return,lag_return_1,lag_return_2,moving_avg_5,moving_avg_20,volatility_5,target_direction
1994-01-28,27.003538131713867,47.875,48.03125,47.875,47.9375,356500,0.002617801047120505,0.009247027741083214,0.0026490066225166586,47.4625,47.2546875,0.0048154866319698765,1
1994-01-31,27.197406768798828,48.21875,48.3125,48.0,48.0625,313800,0.007180156657963455,0.002617801047120505,0.009247027741083214,47.66875,47.3421875,0.00376850208008694,0
1994-02-01,27.0564022064209,47.96875,48.15625,47.90625,48.15625,303600,-0.005184705119896327,0.007180156657963455,0.002617801047120505,47.825,47.4078125,0.005552074975954933,1
1994-02-02,27.232666015625,48.28125,48.28125,48.09375,48.125,307600,0.006514657980456029,-0.005184705119896327,0.007180156657963455,48.01875,47.484375,0.005705465966544232,0
1994-02-03,27.109291076660156,48.0625,48.1875,47.90625,48.1875,466100,-0.0045307443365695255,0.006514657980456029,-0.005184705119896327,48.08125,47.55,0.005906618989116158,0
1994-02-04,26.49237060546875,46.96875,48.125,46.96875,48.0625,1403200,-0.022756827048114436,-0.0045307443365695255,0.006514657980456029,47.9,47.546875,0.012132176145787084,1
1994-02-07,26.61574363708496,47.1875,47.3125,46.84375,46.84375,516400,0.004657351962741085,-0.022756827048114436,-0.0045307443365695255,47.69375,47.5265625,0.011604669464394502,1
1994-02-08,26.633386611938477,47.21875,47.28125,47.03125,47.28125,188200,0.0006622516556291647,0.004657351962741085,-0.022756827048114436,47.54375,47.5125,0.011781448744065432,1
1994-02-09,26.739137649536133,47.40625,47.4375,47.1875,47.25,144600,0.003970880211780381,0.0006622516556291647,0.004657351962741085,47.36875,47.515625,0.011308394931074243,0
1994-02-10,26.50998306274414,47.0,47.40625,47.0,47.375,883900,-0.00856954515491104,0.003970880211780381,0.0006622516556291647,47.15625,47.5046875,0.01153355539718816,1
1994-02-11,26.59812355041504,47.15625,47.28125,46.8125,47.03125,519400,0.0033244680851063357,-0.00856954515491104,0.003970880211780381,47.19375,47.4921875,0.00545695710208904,1
1994-02-14,26.633386611938477,47.21875,47.375,47.0,47.0625,2742100,0.001325381047051044,0.0033244680851063357,-0.00856954515491104,47.2,47.4828125,0.005058421095105578,1
1994-02-15,26.774398803710938,47.46875,47.5,47.25,47.3125,374700,0.005294506949040434,0.001325381047051044,0.0033244680851063357,47.25,47.4828125,0.005575173492185162,0
1994-02-16,26.756757736206055,47.4375,47.53125,47.34375,47.53125,287600,-0.0006583278472679366,0.005294506949040434,0.001325381047051044,47.25625,47.4875,0.00535276463423934,0
1994-02-17,26.59812355041504,47.15625,47.6875,47.03125,47.65625,342400,-0.005928853754940677,-0.0006583278472679366,0.005294506949040434,47.2875,47.471875,0.004306132403552442,0
1994-02-18,26.439481735229492,46.875,47.21875,46.75,47.1875,313300,-0.005964214711729587,-0.005928853754940677,-0.0006583278472679366,47.23125,47.446875,0.004845318361520652,1
1994-02-22,26.703876495361328,47.34375,47.34375,47.0,47.0,154500,0.010000000000000009,-0.005964214711729587,-0.005928853754940677,47.25625,47.4546875,0.0070299970158551545,0
1994-02-23,26.633386611938477,47.21875,47.4375,47.0625,47.40625,391700,-0.0026402640264026056,0.010000000000000009,-0.005964214711729587,47.20625,47.45625,0.0065714702738579826,0
1994-02-24,26.280847549438477,46.59375,47.0625,46.5625,47.0625,770800,-0.013236267372600974,-0.0026402640264026056,0.010000000000000009,47.0375,47.4203125,0.008510892964107107,1
